passenger_id,flight_callsign,name,nationality,date_of_birth,seat,booking_class,status,check_in_time,luggage_count,special_assistance,frequent_flyer_tier
PAX00079,DAL3264,Justin Ward,Peru,1954-12-31,19E,Business,No-show,2026-02-01T11:22:32,0,Unaccompanied Minor,Silver
PAX00080,AFR7043,Barbara Conner,Djibouti,2004-08-16,40C,Business,Checked-in,2026-02-03T17:04:10,3,None,Platinum
PAX00081,SWA1893,John Ball,Uganda,2001-03-04,8B,Economy,Boarded,2026-02-02T03:20:22,2,None,Platinum
PAX00082,DLH2938,Evan Bean,Dominican Republic,1971-11-28,33E,First,No-show,2026-02-03T16:59:46,3,Unaccompanied Minor,Platinum
PAX00083,SWA3019,Susan Harrison,Russian Federation,1973-10-03,6E,Business,No-show,2026-02-02T16:54:03,0,Pet,None
PAX00084,DAL8763,Bradley Molina,Central African Republic,1990-12-26,40F,Premium Economy,No-show,2026-02-03T09:44:19,2,Pet,Silver
PAX00085,UAL2122,Amanda Rogers,Bulgaria,1995-11-10,39C,Business,Boarded,2026-02-03T02:43:36,1,Unaccompanied Minor,Silver
PAX00086,UAL6761,William Carney,Jersey,1945-12-04,21C,First,No-show,2026-02-03T13:51:22,2,None,Gold
PAX00087,BAW3914,Jennifer Neal,Netherlands,1985-08-15,2F,Economy,Checked-in,2026-02-03T05:45:18,1,Unaccompanied Minor,Silver
PAX00088,SWA8992,Tim Graham,Lithuania,1979-02-13,24A,Economy,No-show,2026-02-01T23:05:26,0,Unaccompanied Minor,None
PAX00089,UAL9558,Kimberly Johnson,Cocos (Keeling) Islands,1982-01-12,36C,First,Checked-in,2026-02-02T13:26:43,3,Pet,Silver
PAX00090,AFR7522,Amanda Hinton,Gambia,1967-07-08,37E,Premium Economy,No-show,2026-02-02T11:50:45,2,Wheelchair,Silver
PAX00091,UAL677,Jackson Cooley,Papua New Guinea,1988-10-17,11E,Premium Economy,Checked-in,2026-02-02T13:45:37,1,Pet,Silver
PAX00092,UAL6458,Stacey Knapp,Guinea-Bissau,1952-07-24,1B,Business,Checked-in,2026-02-01T00:30:02,2,Unaccompanied Minor,Silver
PAX00093,BAW3914,Shawn Jimenez,France,1999-03-15,39C,Business,No-show,2026-02-01T01:19:55,1,Pet,Silver
PAX00094,DAL5643,Anthony Martin,Guinea-Bissau,1980-04-15,26F,Economy,Boarded,2026-02-02T02:02:30,3,None,Platinum
PAX00095,DAL7468,Mark Anderson,Yemen,1981-02-09,28A,Premium Economy,Checked-in,2026-02-03T04:47:32,2,Pet,None
PAX00096,KLM9100,David Wright,Australia,1999-07-28,18A,Premium Economy,Checked-in,2026-02-03T05:48:53,0,Pet,Silver
PAX00097,DAL7497,Jaime Booth,Djibouti,1975-05-06,12A,First,Checked-in,2026-02-01T14:51:07,0,None,Platinum
PAX00098,UAL304,Timothy Hogan,Guam,1989-09-13,21B,Premium Economy,No-show,2026-02-02T15:43:53,1,Wheelchair,Silver
PAX00099,AAL3735,Erica Jones,Switzerland,1948-10-05,38D,Business,Boarded,2026-02-01T09:00:29,0,Unaccompanied Minor,Gold
PAX00100,BAW3076,Leslie Allen,Vanuatu,1947-07-25,1D,Premium Economy,Scheduled,2026-02-03T09:00:23,0,Wheelchair,None
PAX00101,DAL4543,Miss Tammy Schwartz,Somalia,1978-03-22,30E,Business,Scheduled,2026-02-02T15:24:26,1,None,Silver
PAX00102,AAL155,James Sharp,Albania,2006-11-18,7C,Economy,Boarded,2026-02-01T04:15:25,2,Wheelchair,Gold
PAX00103,AAL2385,James Bryant,Ecuador,1967-07-27,39C,Business,Boarded,2026-02-01T01:10:04,1,None,Gold
PAX00104,SWA6582,Breanna Richards,Kazakhstan,1996-06-12,27D,Premium Economy,Checked-in,2026-02-02T20:30:35,1,Unaccompanied Minor,Platinum
PAX00105,DLH2352,Scott Jensen,Niue,1981-05-23,11E,First,Scheduled,2026-02-03T17:31:20,2,Wheelchair,Gold
PAX00106,SWA2260,Erica Burke,Madagascar,1969-09-12,3C,Business,Scheduled,2026-02-03T09:58:18,1,Wheelchair,Silver
PAX00107,KLM9671,John Jimenez,Montenegro,1969-01-21,10E,Economy,Boarded,2026-02-01T07:20:10,1,Unaccompanied Minor,Silver
PAX00108,SWA3770,Tiffany Burke,South Africa,1960-08-19,20A,Premium Economy,No-show,2026-02-01T21:31:52,0,Unaccompanied Minor,Platinum
PAX00109,BAW9063,Frederick Brown,British Virgin Islands,1966-11-27,13E,First,Scheduled,2026-02-03T13:48:14,0,Unaccompanied Minor,None
PAX00110,BAW7444,Bryan Ruiz,Senegal,1967-01-09,3C,Business,Boarded,2026-02-03T13:28:08,0,None,None
PAX00111,AFR5017,Erica Alvarado,Syrian Arab Republic,1977-03-18,32D,First,Checked-in,2026-02-02T16:24:09,3,Unaccompanied Minor,Gold
PAX00112,UAL819,Mrs. Denise Shepard,Western Sahara,2002-05-07,12E,Premium Economy,No-show,2026-02-01T17:59:26,2,Pet,Platinum
PAX00113,SWA3517,Laura Haynes,Ghana,1971-12-29,33F,Economy,No-show,2026-02-02T17:03:24,2,Unaccompanied Minor,Gold
PAX00114,KLM7153,Jennifer Bailey,Belarus,1980-07-27,35F,Premium Economy,Boarded,2026-02-03T13:50:48,3,Unaccompanied Minor,Silver
PAX00115,BAW8242,Joel Houston,Italy,1990-06-19,8F,Economy,No-show,2026-02-03T06:33:33,1,None,Silver
PAX00116,AFR3135,Jeffery Peters,El Salvador,1981-02-12,27A,First,Checked-in,2026-02-02T00:33:59,3,Unaccompanied Minor,Platinum
PAX00117,KLM2191,Joanne Baker,Trinidad and Tobago,1951-06-29,5A,Premium Economy,Checked-in,2026-02-01T16:51:09,3,Wheelchair,Gold
PAX00118,UAL9673,Pedro Brown,Bahamas,1991-07-28,32A,Economy,Scheduled,2026-02-01T16:17:31,3,None,Gold
PAX00119,DAL8438,Danielle Johnson,Swaziland,1970-03-28,39D,Premium Economy,Scheduled,2026-02-02T01:48:24,1,Unaccompanied Minor,None
PAX00120,AFR3118,Mary Hahn,Bangladesh,1955-05-05,26C,Business,No-show,2026-02-02T20:44:25,2,Unaccompanied Minor,Gold
PAX00121,UAL1931,Holly Butler,Jordan,1963-01-28,3A,Economy,Checked-in,2026-02-03T04:07:02,3,Wheelchair,None
PAX00122,UAL3141,Harry Thompson,Saudi Arabia,1951-05-31,2E,Premium Economy,Checked-in,2026-02-01T19:41:59,0,None,Silver
PAX00123,BAW6157,Mr. Steven Bryant,Brazil,2008-01-05,9B,Business,No-show,2026-02-01T02:21:18,2,None,Platinum
PAX00124,AFR6670,Christopher Jones,Malta,1958-10-08,17B,First,Boarded,2026-02-03T09:13:40,3,Unaccompanied Minor,Silver
PAX00125,UAL798,Brittany Christensen,Mali,2002-10-05,1A,Economy,Boarded,2026-02-03T09:32:29,1,Unaccompanied Minor,Silver
PAX00126,DLH3784,Dan Hayden,Gambia,1967-08-31,15B,Business,Checked-in,2026-02-02T08:30:40,2,Pet,Platinum
PAX00127,AFR8074,Justin Morgan,Faroe Islands,1956-05-25,27E,First,Checked-in,2026-02-01T00:36:53,1,Unaccompanied Minor,Gold
PAX00128,DLH8190,Sarah Gutierrez,Mongolia,1967-07-29,31C,Economy,Checked-in,2026-02-02T02:07:19,1,None,Platinum
PAX00129,SWA536,Lisa Chang,Saint Lucia,1960-10-12,17D,Business,Checked-in,2026-02-01T19:47:16,0,Pet,Gold
PAX00130,SWA4902,Christopher Mills,Belize,2004-09-26,8F,Economy,Scheduled,2026-02-01T20:16:43,2,Pet,Platinum
PAX00131,DAL2739,Beth Harris PhD,Peru,1948-02-20,33A,First,Boarded,2026-02-03T12:07:45,3,Unaccompanied Minor,Silver
PAX00132,DAL7674,Jeremy Simmons,Saint Vincent and the Grenadines,1953-03-16,18A,Business,Boarded,2026-02-01T10:59:45,0,Pet,Platinum
PAX00133,DAL323,Rebecca King,Dominica,1952-06-01,40B,First,Checked-in,2026-02-02T17:20:35,0,None,Silver
PAX00134,AAL790,Alexis Harris,Denmark,2003-05-31,15D,First,Checked-in,2026-02-02T02:12:03,3,Pet,Gold
PAX00135,AAL6842,Brian Shaw,Belize,1987-11-25,17C,Premium Economy,No-show,2026-02-03T01:16:16,0,Wheelchair,Platinum
PAX00136,UAL7829,Ian Moore,Falkland Islands (Malvinas),1948-02-06,4C,Business,Scheduled,2026-02-01T16:35:02,3,Unaccompanied Minor,Platinum
PAX00137,AAL2836,Philip Miller,Saudi Arabia,1959-03-01,18F,First,Scheduled,2026-02-01T08:26:10,3,Pet,Gold
PAX00138,KLM3225,Kathryn Alvarez,Ghana,1946-07-08,26E,Premium Economy,Scheduled,2026-02-02T14:55:48,3,Pet,Silver
PAX00139,AFR2439,Seth Moore,South Georgia and the South Sandwich Islands,1948-02-29,20D,First,Scheduled,2026-02-02T11:04:29,2,Pet,Platinum
PAX00140,DLH3826,Lauren Taylor,Sudan,1984-10-09,16E,First,Checked-in,2026-02-01T04:02:17,0,Wheelchair,None
PAX00141,SWA5103,Kristopher Ward,Moldova,2002-03-05,25A,Premium Economy,Boarded,2026-02-03T19:03:35,1,Wheelchair,Silver
PAX00142,BAW2268,Diane Anderson,Botswana,1985-03-01,30C,Premium Economy,No-show,2026-02-01T13:55:58,0,Pet,Platinum
PAX00143,KLM6243,Scott Harris,Montenegro,1956-10-11,35A,Business,Boarded,2026-02-02T03:32:19,1,Unaccompanied Minor,Silver
PAX00144,DAL5633,Debra Hopkins,South Africa,2006-06-04,16E,Premium Economy,Boarded,2026-02-03T07:58:10,3,Unaccompanied Minor,Platinum
PAX00145,AFR7310,Kristin Hudson,Bolivia,1958-08-09,27E,Economy,Boarded,2026-02-03T09:30:19,0,Unaccompanied Minor,Silver
PAX00146,SWA3517,Jaclyn Cruz,Trinidad and Tobago,2006-07-02,27E,Economy,No-show,2026-02-02T05:01:19,1,None,Gold
PAX00147,AFR8161,Corey Morgan,France,1974-06-07,10B,Premium Economy,Scheduled,2026-02-01T09:04:12,2,Unaccompanied Minor,Platinum
PAX00148,AAL1093,Mrs. Sheri Hughes,Solomon Islands,2004-01-21,34D,Premium Economy,Boarded,2026-02-01T22:13:45,1,Unaccompanied Minor,Silver
PAX00149,BAW5050,Amy Goodwin,Montenegro,1972-09-02,14D,Economy,No-show,2026-02-03T16:29:20,2,None,Platinum
PAX00150,SWA4831,Miranda Clark,Burundi,1989-08-21,10A,First,Scheduled,2026-02-03T02:49:03,0,Unaccompanied Minor,Silver
PAX00151,SWA9887,Pamela Beck MD,Papua New Guinea,1951-02-06,24F,Business,Checked-in,2026-02-02T18:19:41,1,None,Gold
PAX00152,UAL2688,Trevor Bowman,Jordan,2007-04-16,10A,Economy,Scheduled,2026-02-02T11:50:52,3,Wheelchair,Gold
PAX00153,KLM2413,Bradley Morgan,Tonga,1982-09-12,17A,First,Checked-in,2026-02-03T03:49:03,2,Unaccompanied Minor,Gold
PAX00154,AAL2753,Lindsey Hill,United Kingdom,1960-02-14,18E,First,Checked-in,2026-02-02T20:37:02,2,Pet,Platinum
PAX00155,UAL3242,Anthony Burnett,Afghanistan,1993-08-06,39D,Premium Economy,Boarded,2026-02-03T05:10:09,1,Unaccompanied Minor,Gold
PAX00156,KLM3225,Mr. Joshua Miller,Samoa,1990-10-26,27D,Premium Economy,Checked-in,2026-02-02T02:25:51,1,Pet,Platinum
PAX00157,DLH9634,Steven Smith,Palestinian Territory,1964-04-27,24F,Premium Economy,Boarded,2026-02-02T23:17:20,1,Wheelchair,Platinum
PAX00158,DLH3364,Thomas Richardson,Nauru,1983-02-22,6C,Premium Economy,No-show,2026-02-02T19:29:52,2,Unaccompanied Minor,Platinum
PAX00159,BAW6794,Dustin Price,United States of America,1981-11-03,34E,Economy,No-show,2026-02-02T04:48:46,1,Pet,None
PAX00160,AFR1892,Johnny Mckinney,Mexico,1947-02-15,1F,Economy,No-show,2026-02-02T07:20:57,1,None,Silver
PAX00161,UAL6458,Jennifer Stewart,Trinidad and Tobago,1962-10-28,3F,First,Scheduled,2026-02-01T12:00:51,3,None,None
PAX00162,DAL8024,William Ramirez,Israel,1991-11-03,6A,Business,Scheduled,2026-02-03T14:29:01,1,Wheelchair,Platinum
PAX00163,BAW1312,Timothy Fernandez,Bolivia,1980-11-07,19B,First,Checked-in,2026-02-03T02:17:44,3,Unaccompanied Minor,Silver
PAX00164,UAL6339,Robert Bell,Svalbard & Jan Mayen Islands,1966-05-25,17D,Business,Checked-in,2026-02-01T20:31:36,0,Unaccompanied Minor,None
PAX00165,DAL3472,Olivia Miller,Morocco,1979-01-09,38B,First,Boarded,2026-02-01T06:55:02,1,Pet,None
PAX00166,AFR5341,Douglas White,United Arab Emirates,1950-12-05,22A,Premium Economy,Checked-in,2026-02-01T16:16:05,1,Pet,Gold
PAX00167,UAL677,Joyce Bell,Guadeloupe,1964-01-18,34B,First,No-show,2026-02-03T00:20:24,1,None,None
PAX00168,KLM3225,Isabella Watson,Jordan,1953-08-19,40F,First,Boarded,2026-02-01T16:57:22,3,Unaccompanied Minor,Gold
PAX00169,KLM9100,Joseph Osborne,Belgium,1961-02-26,4E,Economy,No-show,2026-02-03T06:13:39,1,Wheelchair,Gold
PAX00170,AFR6232,Russell Crawford,Guadeloupe,1983-05-22,7F,First,No-show,2026-02-03T07:28:21,2,None,None
PAX00171,AFR9678,Kelly Rodriguez,Palestinian Territory,2006-06-13,10E,Economy,No-show,2026-02-03T10:41:28,3,Unaccompanied Minor,Gold
PAX00172,DAL3264,Richard Phillips,Turkey,1986-03-07,24E,Premium Economy,Boarded,2026-02-02T01:39:47,0,Wheelchair,Gold
PAX00173,BAW8807,Dana Novak,Cameroon,1975-10-11,18C,First,Boarded,2026-02-02T13:21:02,3,Unaccompanied Minor,None
PAX00174,KLM2887,Melissa Park,Bahrain,2007-06-21,18B,Premium Economy,Boarded,2026-02-02T14:37:24,0,None,Gold
PAX00175,AFR8750,Cole Blankenship,Central African Republic,1992-09-06,30E,First,Boarded,2026-02-01T01:46:46,1,None,None
PAX00176,AAL907,Kelly Moore,Netherlands Antilles,1962-05-28,2E,Economy,Boarded,2026-02-03T17:38:41,1,Wheelchair,Platinum
PAX00177,DLH4074,Shirley Jones,Guyana,1979-05-19,30E,Business,Boarded,2026-02-02T14:20:43,2,None,Platinum
PAX00178,AAL1124,Cynthia Moody,Lesotho,1957-01-31,32A,Business,No-show,2026-02-01T23:59:51,1,Wheelchair,None
PAX00179,AFR7696,Larry Harrison,China,1955-05-19,25B,First,No-show,2026-02-03T17:20:56,1,Unaccompanied Minor,Platinum
PAX00180,AFR117,Anna Johnson,Lao People's Democratic Republic,1982-06-22,28F,Premium Economy,Boarded,2026-02-02T14:16:11,2,Wheelchair,Gold
PAX00181,AAL7894,Lisa Burns,Tanzania,2001-10-08,14C,Premium Economy,Scheduled,2026-02-01T22:17:07,2,Pet,Gold
PAX00182,DLH5519,Richard Frank,Montserrat,1977-01-01,23D,Premium Economy,Boarded,2026-02-01T19:03:32,1,Wheelchair,None
PAX00183,BAW7629,Randall Grant,Guyana,1975-03-19,37E,Economy,Scheduled,2026-02-02T12:51:26,1,Pet,Platinum
PAX00184,SWA7407,Dr. Tyler Dennis,Moldova,1968-02-03,35D,First,No-show,2026-02-03T11:45:43,1,Wheelchair,Platinum
PAX00185,DAL5120,Charles Lamb,Grenada,2002-02-06,23F,First,Checked-in,2026-02-01T05:41:22,1,Pet,Gold
PAX00186,BAW1228,Sylvia Wilson,Haiti,1983-08-13,33C,Economy,Scheduled,2026-02-03T06:43:19,2,Pet,None
PAX00187,DLH9634,Tracy Grant,Bahrain,2001-11-15,33F,Premium Economy,No-show,2026-02-02T09:37:40,3,None,Platinum
PAX00188,KLM5773,Ruben Nicholson,Tonga,2007-09-06,4D,Premium Economy,Boarded,2026-02-01T01:41:23,3,Unaccompanied Minor,None
PAX00189,UAL1931,Joseph Price,Saudi Arabia,2006-01-03,33F,Business,Scheduled,2026-02-01T03:22:47,0,Unaccompanied Minor,Gold
PAX00190,KLM8543,Jason Herrera,Uzbekistan,1960-09-03,27E,Premium Economy,No-show,2026-02-02T11:36:48,0,Pet,Platinum
PAX00191,DLH1670,Belinda Ponce,Holy See (Vatican City State),1977-05-12,21B,First,No-show,2026-02-02T14:26:27,3,Wheelchair,Platinum
PAX00192,SWA2109,Ian Smith,Slovenia,2002-10-19,8B,Economy,Checked-in,2026-02-03T04:34:44,2,None,Silver
PAX00193,AAL6541,Scott Richardson,Hong Kong,1975-10-20,16A,First,Boarded,2026-02-01T12:01:24,0,Unaccompanied Minor,Gold
PAX00194,AAL137,Megan Price,Austria,2000-07-24,39F,Economy,Scheduled,2026-02-02T17:22:25,1,None,Silver
